com.medigy.persist.reference.type.clincial.CPT.code,label
0003T,Cervicography
0008T,Upper gi endoscopy w/suture
0010T,"Tb test, gamma interferon"
0016T,Thermotx choroid vasc lesion
0017T,Photocoagulat macular drusen
0018T,Transcranial magnetic stimul
0019T,"Extracorp shock wave tx, ms"
0020T,"Extracorp shock wave tx, ft"
0021T,"Fetal oximetry, trnsvag/cerv"
0023T,"Phenotype drug test, hiv 1"
0024T,Transcath cardiac reduction
0026T,Measure remnant lipoproteins
0027T,Endoscopic epidural lysis
0028T,Dexa body composition study
0029T,Magnetic tx for incontinence
0030T,Antiprothrombin antibody
0031T,Speculoscopy
0032T,Speculoscopy w/direct sample
0033T,Endovasc taa repr incl subcl
0034T,Endovasc taa repr w/o subcl
0035T,"Insert endovasc prosth, taa"
0036T,"Endovasc prosth, taa, add-on"
0037T,Artery transpose/endovas taa
0038T,Rad endovasc taa rpr w/cover
0039T,"Rad s/i, endovasc taa repair"
0040T,"Rad s/i, endovasc taa prosth"
0041T,Detect ur infect agnt w/cpas
0042T,"Ct perfusion w/contrast, cbf"
0043T,Co expired gas analysis
0044T,Whole body photography
0045T,Whole body photography
0046T,"Cath lavage, mammary duct(s"
0047T,"Cath lavage, mammary duct(s)"
0048T,Implant ventricular device
0049T,External circulation assist
0050T,Removal circulation assist
0051T,Implant total heart system
0052T,Replace component heart syst
0053T,Replace component heart syst
0054T,Bone surgery using computer
0055T,Bone surgery using computer
0056T,Bone surgery using computer
0058T,"Cryopreservation, ovary tiss"
0059T,"Cryopreservation, oocyte"
0060T,Electrical impedance scan
0061T,"Destruction of tumor, breast"
0062T,Rep intradisc annulus;1 lev
0063T,Rep intradisc annulus;>1lev
0064T,Spectroscop eval expired gas
0065T,Ocular photoscreen bilat
0066T,Ct colonography;screen
0067T,Ct colonography;dx
0068T,Interp/rept heart sound
0069T,Analysis only heart sound
0070T,Interp only heart sound
0071T,U/s leiomyomata ablate <200
0072T,U/s leiomyomata ablate >200
0073T,"Delivery, comp imrt"
0074T,Online physician e/m
0075T,Perq stent/chest vert art
0076T,S&i stent/chest vert art
0077T,Cereb therm perfusion probe
0078T,Endovasc aort repr w/device
0079T,Endovasc visc extnsn repr
0080T,Endovasc aort repr rad s&i
0081T,Endovasc visc extnsn s&i
0082T,Stereotactic rad delivery
0083T,Stereotactic rad tx mngmt
0084T,Temp prostate urethral stent
0085T,Breath test heart reject
0086T,L ventricle fill pressure
0087T,Sperm eval hyaluronan
0088T,Rf tongue base vol reduxn
0500F,Initial prenatal care visit
0501F,Prenatal flow sheet
0502F,Subsequent prenatal care
0503F,Postpartum care visit
1000F,"Tobacco use, smoking, assess"
1001F,"Tobacco use, non-smoking"
10021,Fna w/o image
10022,Fna w/image
1002F,Assess anginal symptom/level
10040,Acne surgery
10060,Drainage of skin abscess
10061,Drainage of skin abscess
10080,Drainage of pilonidal cyst
10081,Drainage of pilonidal cyst
10120,Remove foreign body
10121,Remove foreign body
10140,Drainage of hematoma/fluid
10160,Puncture drainage of lesion
10180,"Complex drainage, wound"
11000,Debride infected skin
11001,Debride infected skin add-on
11004,Debride genitalia & perineum
11005,Debride abdom wall
11006,Debride genit/per/abdom wall
11008,Remove mesh from abd wall
11010,"Debride skin, fx"
11011,"Debride skin/muscle, fx"
11012,"Debride skin/muscle/bone, fx"
11040,"Debride skin, partial"
11041,"Debride skin, full"
11042,Debride skin/tissue
11043,Debride tissue/muscle
11044,Debride tissue/muscle/bone
11055,Trim skin lesion
11056,"Trim skin lesions, 2 to 4"
11057,"Trim skin lesions, over 4"
11100,"Biopsy, skin lesion"
11101,"Biopsy, skin add-on"
11200,Removal of skin tags
11201,Remove skin tags add-on
11300,Shave skin lesion
11301,Shave skin lesion
11302,Shave skin lesion
11303,Shave skin lesion
11305,Shave skin lesion
11306,Shave skin lesion
11307,Shave skin lesion
11308,Shave skin lesion
11310,Shave skin lesion
11311,Shave skin lesion
11312,Shave skin lesion
11313,Shave skin lesion
11400,Exc tr-ext b9+marg 0.5 < cm
11401,Exc tr-ext b9+marg 0.6-1 cm
11402,Exc tr-ext b9+marg 1.1-2 cm
11403,Exc tr-ext b9+marg 2.1-3 cm
11404,Exc tr-ext b9+marg 3.1-4 cm
11406,Exc tr-ext b9+marg > 4.0 cm
11420,Exc h-f-nk-sp b9+marg 0.5 <
11421,Exc h-f-nk-sp b9+marg 0.6-1
11422,Exc h-f-nk-sp b9+marg 1.1-2
11423,Exc h-f-nk-sp b9+marg 2.1-3
11424,Exc h-f-nk-sp b9+marg 3.1-4
11426,Exc h-f-nk-sp b9+marg > 4 cm
11440,Exc face-mm b9+marg 0.5 < cm
11441,Exc face-mm b9+marg 0.6-1 cm
11442,Exc face-mm b9+marg 1.1-2 cm
11443,Exc face-mm b9+marg 2.1-3 cm
11444,Exc face-mm b9+marg 3.1-4 cm
11446,Exc face-mm b9+marg > 4 cm
11450,"Removal, sweat gland lesion"
11451,"Removal, sweat gland lesion"
11462,"Removal, sweat gland lesion"
11463,"Removal, sweat gland lesion"
11470,"Removal, sweat gland lesion"
11471,"Removal, sweat gland lesion"
11600,Exc tr-ext mlg+marg 0.5 < cm
11601,Exc tr-ext mlg+marg 0.6-1 cm
11602,Exc tr-ext mlg+marg 1.1-2 cm
11603,Exc tr-ext mlg+marg 2.1-3 cm
11604,Exc tr-ext mlg+marg 3.1-4 cm
11606,Exc tr-ext mlg+marg > 4 cm
11620,Exc h-f-nk-sp mlg+marg 0.5 <
11621,Exc h-f-nk-sp mlg+marg 0.6-1
11622,Exc h-f-nk-sp mlg+marg 1.1-2
11623,Exc h-f-nk-sp mlg+marg 2.1-3
11624,Exc h-f-nk-sp mlg+marg 3.1-4
11626,Exc h-f-nk-sp mlg+mar > 4 cm
11640,Exc face-mm malig+marg 0.5 <
11641,Exc face-mm malig+marg 0.6-1
11642,Exc face-mm malig+marg 1.1-2
11643,Exc face-mm malig+marg 2.1-3
11644,Exc face-mm malig+marg 3.1-4
11646,Exc face-mm mlg+marg > 4 cm
11719,Trim nail(s)
11720,"Debride nail, 1-5"
11721,"Debride nail, 6 or more"
11730,Removal of nail plate
11732,"Remove nail plate, add-on"
11740,Drain blood from under nail
11750,Removal of nail bed
11752,Remove nail bed/finger tip
11755,"Biopsy, nail unit"
11760,Repair of nail bed
11762,Reconstruction of nail bed
11765,"Excision of nail fold, toe"
11770,Removal of pilonidal lesion
11771,Removal of pilonidal lesion
11772,Removal of pilonidal lesion
11900,Injection into skin lesions
11901,Added skin lesions injection
11920,Correct skin color defects
11921,Correct skin color defects
11922,Correct skin color defects
11950,Therapy for contour defects
11951,Therapy for contour defects
11952,Therapy for contour defects
11954,Therapy for contour defects
11960,Insert tissue expander(s)
11970,Replace tissue expander
11971,Remove tissue expander(s)
11975,Insert contraceptive cap
